Paper_title ,Broad_subject ,Specific_focus ,Data_type ,Country_studied,Publication_year,County,Region,UK_country,,Number of rivers or areas studied 
Marking behaviour and census of Eurasian otters (Lutra lutra) in riverine habitats: what can scat abundances and non-invasive genetic sampling tell us about otter numbers?,Population ,Population Size,Spraint,Austria,2020,,,,,
"The state of conservation of the Otter, Lutra lutra, in the French alps. What does the future hold?",Ecology,Habitat Suitability ,Modeling ,France,2020,,,,,1 region
Differences in the diet and trophic niche of three sympatric carnivores in a marshland,Ecology,Niche Occupation ,Spraint,Hungary,2020,,,,,1 location
Assessing the distribution pattern of otters in four rivers of the Indian Himalayan biodiversity hotspot,Population ,Population distribution,Survey,India,2020,,,,,4 river systems 
"The diet of otters (Lutra lutra) on the Agri river system, one of the most important presence sites in Italy: a molecular approach",Ecology ,Diet,Spraint ,Italy,2020,,,,,1 river system
"First study on PCBs, organochlorine pesticides, and trace elements in the Eurasian otter (Lutra lutra) from southern Italy",Pollution,Heavy metals_POPs,,Italy,2020,,,,,
"Desert otters: Distribution, habitat use and feeding ecology in arid rivers of Morocco",Ecology_Population,Diet_Population distribution,Spraint_Survey,Morocco,2020,,,,,2 river systems 
"Bycatch in local fishery disrupts natural reestablishment of Eurasian otter in western Norway
",Ecology,Human impacts,Survey,Norway,2020,,,,,1 region
Tadpoles in the diet of otters - an overlooked prey item in the diet of a riparian predator?,Ecology,Diet,Observations,Poland,2020,,,,,1 region
Identifying the riparian type affecting habitat selection of Eurasian otter (Lutra lutra) (Carnivora: Mustelidae) in Daecheong Dam reservoir are,Ecology,Habitat Suitability ,Enviromental variables,Republic of Korea,2020,,,,,1 river system
The sprainting behavior and habitat preference of the Eurasian otter Lutra lutra: along a montane stream in South Korea,Ecology,Habitat Use ,Survey_Modelling,Republic of Korea,2020,,,,,1 river system
Thymic Hematoma Found in a Wild Eurasian Otter (Lutra lutra),Health,General Health ,Postmortem,Republic of Korea,2020,,,,,
Large scale faecal (spraint) counts indicate the population status of endangered Eurasian otters (Lutra lutra),Population ,Population Size ,Modeling ,Republic of Korea,2020,,,,,
Eurasian otter (Lutra lutra) diet as an early indicator of recovery in defaunated river communities,Ecology,Diet,Spraint,Spain,2020,,,,,1 river system
Otter diet changes in a reservoir during a severe autumn drought,Ecology,Diet,Spraint,Spain,2020,,,,,1 location
Potential of restored gravel pits to provide suitable habitats for Eurasian otters in anthropogenic landscapes,Ecology,Habitat Suitability ,Survey,Spain,2020,,,,,1 location
Detection probabilities of the native Eurasian otter and the invasive American mink are independent of their co-occurrence,Ecology,Species interactions ,Survey,Spain,2020,,,,,1 river system
Determinants of Eurasian otter (Lutra lutra) diet in a seasonally changing reservoir,Ecology ,Diet,Spraint,Spain,2020,,,,,1 river system
Assessment of ecotoxicological risks to river otters from ingestion of invasive red swamp crayfish in metal contaminated areas: Use of feces to estimate dietary exposu,Pollution,Heavy metals,Spraint,Spain,2020,,,,,2 river systems 
Status of the Eurasian otter (Lutra lutra) in Switzerland,Reviews and methods,Species Review ,Literiture,Switzerland,2020,,,,,
Dietary complexity and hidden costs of prey switching in a generalist top predator,Ecology,Diet,Spraint_modeling,United Kingdom,2020,National ,,,,national
DNA metabarcoding shows strong potential for investigating diet and niche partitioning in the native European otter (Lutra lutra) and invasive American mink (Neovison vison),Ecology ,Diet_Niche occupation,Spraint,United Kingdom,2020,"West Yorkshire, Norfolk, East Riding of Yorkshire",,,,1 river system
"Distribution modelling of the Eurasian Otter (Lutra lutra) on the Isle of Anglesey, Wales",Population ,Species distribution,Enviromental variables,United Kingdom,2020,Gwyneed,,,,Small area
Component processes of detection probability in camera-trap studies: understanding the occurrence of false-negatives,Reviews and methods,Ecology methods,Camera traps ,United Kingdom,2020,NA,,,,2 locations
"The genome sequence of the Eurasian river otter, Lutra lutra Linnaeus 1758",,Genome sequence,Tissue samples ,United Kingdom,2020,,,,,1 river system
Fish size selection and diet composition of Eurasian otters (Lutra lutra) in salmonid streams: Picky gourmets rather than opportunists?,Behaviour,Predation,Spraint,Austria,2019,,,,,3 streams
Riparian vegetation provides crucial shelter for resting otters in a human-dominated landscape,Ecology,Habitat Use ,Tracking,Austria,2019,,,,,1 river system
Accounting for individual-specific variation in habitat-selection studies: Efficient estimation of mixed-effects models using Bayesian or frequentist computation,Ecology,Habitat Use ,Modeling ,France,2019,,,,,1 region
Current genetic admixture between relictual populations might enhance the recovery of an elusive carnivore,Population ,Population Genetics,Spraint,France,2019,,,,,5 regions
"The in-air auditory thresholds of the eurasian otter (Lutra lutra, L. 1758) as determined by auditory brainstem responses",Anatomy and Physiology,Physiology,Postmortem,Germany,2019,,,,,
Performance of detection dogs and visual searches for scat detection and discrimination amongst related species with identical diets,Reviews and methods,Ecology methods,Spraint,Germany,2019,,,,,
Presence of the Eurasian otter Lutra lutra on the islands of Greece: a review,Reviews and methods,Population Review,Literiture,Greece,2019,,,,,
"Photographic Records of Eurasian Otter (Lutra lutra Linnaeus, 1758) from Nyamjang Chu River, Arunachal Pradesh, India",Population ,Population distribution,Observations ,India,2019,,,,,
Predation on Amphibians May Enhance Eurasian Otter Recovery in Southern Italy,Ecology,Diet,Spraint,Italy,2019,,,,,8 river systems 
Where will it cross next? Optimal management of road collision risk for otters in Italy,Ecology,Human impacts,Survey_Modelling,Italy,2019,,,,,1 region
Anthropogenically altered trophic webs: alien catfish and microplastics in the diet of Eurasian otters,Ecology_Pollution,Diet_Micro plastics ,Spraint,Italy,2019,,,,,1 river system
Molecular detection and characterization of carnivore parvoviruses in free‐ranging Eurasian otters (Lutra lutra ) in southern Italy,Health,Disease,Postmortem,Italy,2019,,,,,1 river system
Left atrial appendage rupture due to blunt chest trauma in an Eurasian otter (Lutra lutra),Health,General Health ,Postmortem,Italy,2019,,,,,
"Dolphin Morbillivirus in Eurasian Otters, Italy",Health,Disease,Tissue samples ,Italy,2019,,,,,
"Presence of the Eurasian otter Lutra lutra (Linnaeus, 1758) (Mammalia Mustelidae) in the Foce Sele-Tanagro Nature Re- serve (Campania, Southern Italy)",Population ,Population Size,Observations ,Italy,2019,,,,,
What is the taxonomic status of East Asian otter species based on molecular evidence?: focus on the position of the Japanese otter holotype specimen from museum,Population ,Taxonomy,Specimen,Japan,2019,,,,,NA
"Helminths of mustelids with overlapping ecological niches: Eurasian otter Lutra lutra (Linnaeus, 1758), American mink Neovison vison Schreber, 1777, and European polecat Mustela putorius Linnaeus, 1758",Health,Parasites,Postmortem,Lithuania,2019,,,,,
EURASIAN OTTER (Lutra lutra): EXPLORING EVIDENCE IN NEPAL,Reviews and methods,Species Review ,Literiture,Nepal,2019,,,,,
Morphology of the inferior pharyngeal bones of white bream (Blicca bjoerkna) in River Warta,Ecology,Diet,Specimen,Poland,2019,,,,,1 river system
Mesocarnivore community structure under predator control: Unintended patterns in a conservation context,Population ,Population Structure ,Camera traps ,Portugal,2019,,,,,1 region
Simulating animal movements to predict wildlife-vehicle collisions: illustrating an application of the novel R package SiMRiv,Reviews and methods,Ecology methods,Road kill,Portugal,2019,,,,,1 region
A molecular approach to identifying the relationship between resource use and availability in Eurasian otters (Lutra lutra),Ecology ,Diet,Spraint,Republic of Korea,2019,,,,,1 river system
DNA metabarcoding-based diet survey for the Eurasian otter (Lutra lutra): Development of a Eurasian otter-specific blocking oligonucleotide for 12S rRNA gene sequencing for vertebrates,Ecology ,Diet,Spraint,Republic of Korea,2019,,,,,1 river system
Current distribution and status of the Eurasian otter Lutra lutra in South Korea,Reviews and methods,Species Review ,Survey,Republic of Korea,2019,,,,,
